Source,eType,Target,Time,Weight,SourceLocation,TargetLocation,SourceLatitude,SourceLongitude,TargetLatitude,TargetLongitude,graph,datetime,date,day_of_year,week,month,hour,edge_type,source_node_type,source_node_type_name,target_node_type,target_node_type_name,pair_min,pair_max
41,0,34,86400,1.0,,,,,,,template,2025-01-02 00:00:00,2025-01-02,2,1,1,0,email,1,person,1,person,34,41
37,0,27,94461,1.0,,,,,,,template,2025-01-02 02:14:21,2025-01-02,2,1,1,2,email,1,person,1,person,27,37
34,1,27,107548,1.0,5.0,5.0,,,,,template,2025-01-02 05:52:28,2025-01-02,2,1,1,5,phone,1,person,1,person,27,34
41,0,37,127838,1.0,,,,,,,template,2025-01-02 11:30:38,2025-01-02,2,1,1,11,email,1,person,1,person,37,41
34,1,37,137358,1.0,5.0,5.0,,,,,template,2025-01-02 14:09:18,2025-01-02,2,1,1,14,phone,1,person,1,person,34,37
27,0,41,137514,1.0,,,,,,,template,2025-01-02 14:11:54,2025-01-02,2,1,1,14,email,1,person,1,person,27,41
27,0,41,146000,1.0,,,,,,,template,2025-01-02 16:33:20,2025-01-02,2,1,1,16,email,1,person,1,person,27,41
41,1,37,149161,1.0,5.0,5.0,,,,,template,2025-01-02 17:26:01,2025-01-02,2,1,1,17,phone,1,person,1,person,37,41
37,0,34,158428,1.0,,,,,,,template,2025-01-02 20:00:28,2025-01-02,2,1,1,20,email,1,person,1,person,34,37
41,0,34,169247,1.0,,,,,,,template,2025-01-02 23:00:47,2025-01-02,2,1,1,23,email,1,person,1,person,34,41
27,1,37,177201,1.0,5.0,5.0,,,,,template,2025-01-03 01:13:21,2025-01-03,3,1,1,1,phone,1,person,1,person,27,37
37,1,41,183172,1.0,5.0,5.0,,,,,template,2025-01-03 02:52:52,2025-01-03,3,1,1,2,phone,1,person,1,person,37,41
41,0,27,216582,1.0,,,,,,,template,2025-01-03 12:09:42,2025-01-03,3,1,1,12,email,1,person,1,person,27,41
34,1,41,218423,1.0,5.0,5.0,,,,,template,2025-01-03 12:40:23,2025-01-03,3,1,1,12,phone,1,person,1,person,34,41
41,1,27,230069,1.0,5.0,5.0,,,,,template,2025-01-03 15:54:29,2025-01-03,3,1,1,15,phone,1,person,1,person,27,41
41,1,37,233022,1.0,5.0,5.0,,,,,template,2025-01-03 16:43:42,2025-01-03,3,1,1,16,phone,1,person,1,person,37,41
34,1,41,236079,1.0,5.0,5.0,,,,,template,2025-01-03 17:34:39,2025-01-03,3,1,1,17,phone,1,person,1,person,34,41
41,1,37,239793,1.0,5.0,5.0,,,,,template,2025-01-03 18:36:33,2025-01-03,3,1,1,18,phone,1,person,1,person,37,41
37,1,27,265109,1.0,5.0,5.0,,,,,template,2025-01-04 01:38:29,2025-01-04,4,1,1,1,phone,1,person,1,person,27,37
37,0,41,268112,1.0,,,,,,,template,2025-01-04 02:28:32,2025-01-04,4,1,1,2,email,1,person,1,person,37,41
37,0,34,272059,1.0,,,,,,,template,2025-01-04 03:34:19,2025-01-04,4,1,1,3,email,1,person,1,person,34,37
34,1,27,276813,1.0,5.0,5.0,,,,,template,2025-01-04 04:53:33,2025-01-04,4,1,1,4,phone,1,person,1,person,27,34
34,1,27,288578,1.0,5.0,5.0,,,,,template,2025-01-04 08:09:38,2025-01-04,4,1,1,8,phone,1,person,1,person,27,34
41,1,37,293985,1.0,5.0,5.0,,,,,template,2025-01-04 09:39:45,2025-01-04,4,1,1,9,phone,1,person,1,person,37,41
34,1,37,318223,1.0,5.0,5.0,,,,,template,2025-01-04 16:23:43,2025-01-04,4,1,1,16,phone,1,person,1,person,34,37
34,1,41,345461,1.0,5.0,5.0,,,,,template,2025-01-04 23:57:41,2025-01-04,4,1,1,23,phone,1,person,1,person,34,41
37,1,34,346631,1.0,5.0,5.0,,,,,template,2025-01-05 00:17:11,2025-01-05,5,1,1,0,phone,1,person,1,person,34,37
34,1,37,350177,1.0,5.0,5.0,,,,,template,2025-01-05 01:16:17,2025-01-05,5,1,1,1,phone,1,person,1,person,34,37
41,1,27,362034,1.0,5.0,5.0,,,,,template,2025-01-05 04:33:54,2025-01-05,5,1,1,4,phone,1,person,1,person,27,41
40,0,0,368628,1.0,,,,,,,template,2025-01-05 06:23:48,2025-01-05,5,1,1,6,email,1,person,1,person,0,40
41,1,34,374986,1.0,5.0,5.0,,,,,template,2025-01-05 08:09:46,2025-01-05,5,1,1,8,phone,1,person,1,person,34,41
37,0,34,395798,1.0,,,,,,,template,2025-01-05 13:56:38,2025-01-05,5,1,1,13,email,1,person,1,person,34,37
37,0,34,399788,1.0,,,,,,,template,2025-01-05 15:03:08,2025-01-05,5,1,1,15,email,1,person,1,person,34,37
37,0,41,401565,1.0,,,,,,,template,2025-01-05 15:32:45,2025-01-05,5,1,1,15,email,1,person,1,person,37,41
37,0,27,411242,1.0,,,,,,,template,2025-01-05 18:14:02,2025-01-05,5,1,1,18,email,1,person,1,person,27,37
34,0,37,412501,1.0,,,,,,,template,2025-01-05 18:35:01,2025-01-05,5,1,1,18,email,1,person,1,person,34,37
37,1,27,417194,1.0,5.0,5.0,,,,,template,2025-01-05 19:53:14,2025-01-05,5,1,1,19,phone,1,person,1,person,27,37
34,1,37,431903,1.0,5.0,5.0,,,,,template,2025-01-05 23:58:23,2025-01-05,5,1,1,23,phone,1,person,1,person,34,37
