graph,pair_min,pair_max,email,phone,total_communication
q1_graph1,464459,533140,3.0,0.0,3.0
q1_graph1,464459,568093,1.0,0.0,1.0
q1_graph1,464459,616050,0.0,1.0,1.0
q1_graph1,464459,632150,0.0,4.0,4.0
q1_graph1,490041,492777,1.0,0.0,1.0
q1_graph1,490041,493044,2.0,0.0,2.0
q1_graph1,490041,550361,2.0,1.0,3.0
q1_graph1,490041,589639,8.0,6.0,14.0
q1_graph1,490041,599956,13.0,10.0,23.0
q1_graph1,490041,623295,2.0,1.0,3.0
q1_graph1,490041,635665,5.0,3.0,8.0
q1_graph1,490041,640464,0.0,1.0,1.0
q1_graph1,492777,493044,4.0,3.0,7.0
q1_graph1,492777,550361,3.0,1.0,4.0
q1_graph1,492777,596193,6.0,1.0,7.0
q1_graph1,492777,599956,0.0,4.0,4.0
q1_graph1,492777,623295,7.0,9.0,16.0
q1_graph1,492777,635665,12.0,8.0,20.0
q1_graph1,493044,550361,1.0,3.0,4.0
q1_graph1,493044,596193,3.0,0.0,3.0
q1_graph1,493044,599956,1.0,2.0,3.0
q1_graph1,493044,623295,0.0,1.0,1.0
q1_graph1,493044,635665,0.0,4.0,4.0
q1_graph1,512397,550287,10.0,0.0,10.0
q1_graph1,512397,635665,9.0,0.0,9.0
q1_graph1,533140,568093,1.0,0.0,1.0
q1_graph1,533140,591682,3.0,1.0,4.0
q1_graph1,533140,616050,3.0,5.0,8.0
q1_graph1,533140,632150,0.0,2.0,2.0
q1_graph1,533140,635665,0.0,2.0,2.0
q1_graph1,550287,635665,2.0,0.0,2.0
q1_graph1,550361,589639,2.0,0.0,2.0
q1_graph1,550361,596193,5.0,1.0,6.0
q1_graph1,550361,599956,3.0,1.0,4.0
q1_graph1,550361,623295,5.0,2.0,7.0
q1_graph1,550361,635665,2.0,2.0,4.0
q1_graph1,550361,640464,1.0,0.0,1.0
q1_graph1,559657,635665,5.0,0.0,5.0
q1_graph1,568093,591682,1.0,0.0,1.0
q1_graph1,568093,616050,2.0,0.0,2.0
q1_graph1,568093,632150,4.0,1.0,5.0
q1_graph1,568093,635665,1.0,1.0,2.0
q1_graph1,570411,599956,3.0,1.0,4.0
q1_graph1,570411,623295,3.0,0.0,3.0
q1_graph1,570411,635665,2.0,3.0,5.0
q1_graph1,570411,640464,3.0,5.0,8.0
q1_graph1,589639,599956,4.0,10.0,14.0
q1_graph1,589639,623295,1.0,0.0,1.0
q1_graph1,589639,635665,3.0,1.0,4.0
q1_graph1,591682,632150,0.0,1.0,1.0
q1_graph1,596193,599956,0.0,1.0,1.0
q1_graph1,596193,623295,5.0,0.0,5.0
q1_graph1,596193,635665,4.0,3.0,7.0
q1_graph1,596193,640464,1.0,0.0,1.0
q1_graph1,599956,623295,2.0,1.0,3.0
q1_graph1,599956,635665,13.0,3.0,16.0
q1_graph1,599956,640464,2.0,0.0,2.0
q1_graph1,616050,632150,0.0,1.0,1.0
q1_graph1,616050,635665,1.0,2.0,3.0
q1_graph1,623295,635665,6.0,8.0,14.0
q1_graph1,623295,640464,1.0,0.0,1.0
q1_graph1,632150,635665,0.0,3.0,3.0
q1_graph1,635665,640464,0.0,7.0,7.0
q1_graph2,477138,505965,1.0,1.0,2.0
q1_graph2,477138,515794,2.0,1.0,3.0
q1_graph2,477138,534449,1.0,0.0,1.0
q1_graph2,477138,544615,3.0,0.0,3.0
q1_graph2,477138,572413,1.0,0.0,1.0
q1_graph2,477138,602912,10.0,4.0,14.0
q1_graph2,477138,629627,7.0,9.0,16.0
q1_graph2,477138,639051,12.0,10.0,22.0
q1_graph2,488928,585212,10.0,0.0,10.0
q1_graph2,488928,644830,10.0,0.0,10.0
q1_graph2,505965,515794,16.0,8.0,24.0
q1_graph2,505965,534449,1.0,2.0,3.0
q1_graph2,505965,544615,0.0,1.0,1.0
q1_graph2,505965,572413,6.0,8.0,14.0
q1_graph2,505965,602912,0.0,3.0,3.0
q1_graph2,505965,629627,15.0,10.0,25.0
q1_graph2,505965,639051,0.0,1.0,1.0
q1_graph2,515794,534449,1.0,0.0,1.0
q1_graph2,515794,544615,1.0,1.0,2.0
q1_graph2,515794,572413,4.0,4.0,8.0
q1_graph2,515794,602912,6.0,1.0,7.0
q1_graph2,515794,629627,9.0,13.0,22.0
q1_graph2,527597,534034,3.0,1.0,4.0
q1_graph2,527597,541017,5.0,0.0,5.0
q1_graph2,527597,563211,3.0,1.0,4.0
q1_graph2,527597,582851,1.0,6.0,7.0
q1_graph2,527597,585212,2.0,4.0,6.0
q1_graph2,527597,599441,2.0,1.0,3.0
q1_graph2,527597,629627,3.0,0.0,3.0
q1_graph2,534034,563211,1.0,0.0,1.0
q1_graph2,534034,582851,1.0,0.0,1.0
q1_graph2,534034,585212,1.0,2.0,3.0
q1_graph2,534034,599441,2.0,0.0,2.0
q1_graph2,534034,629627,4.0,0.0,4.0
q1_graph2,534449,544615,14.0,6.0,20.0
q1_graph2,534449,602912,3.0,1.0,4.0
q1_graph2,534449,629627,5.0,16.0,21.0
q1_graph2,541017,563211,1.0,3.0,4.0
q1_graph2,541017,582851,1.0,5.0,6.0
q1_graph2,541017,585212,3.0,1.0,4.0
q1_graph2,541017,599441,2.0,2.0,4.0
q1_graph2,541017,629627,2.0,2.0,4.0
q1_graph2,544615,572413,2.0,0.0,2.0
q1_graph2,544615,602912,1.0,1.0,2.0
q1_graph2,544615,629627,4.0,6.0,10.0
q1_graph2,544615,639051,4.0,0.0,4.0
q1_graph2,563211,582851,0.0,3.0,3.0
q1_graph2,563211,585212,1.0,3.0,4.0
q1_graph2,563211,629627,3.0,0.0,3.0
q1_graph2,572413,602912,3.0,0.0,3.0
q1_graph2,572413,629627,4.0,6.0,10.0
q1_graph2,572413,639051,1.0,0.0,1.0
q1_graph2,582851,585212,0.0,3.0,3.0
q1_graph2,582851,599441,1.0,0.0,1.0
q1_graph2,582851,629627,2.0,1.0,3.0
q1_graph2,585212,599441,2.0,2.0,4.0
q1_graph2,585212,629627,2.0,3.0,5.0
q1_graph2,585212,644830,18.0,0.0,18.0
