graph,person_id,income_510031,income_552988,income_620120,spending_459381,spending_466907,spending_473173,spending_503218,spending_503701,spending_520660,spending_523927,spending_527449,spending_536346,spending_537281,spending_567195,spending_571970,spending_575030,spending_577992,spending_580426,spending_589943,spending_595298,spending_595581,spending_606730,spending_616315,spending_620120,spending_621924,spending_630626,spending_632961,spending_640784,spending_642329,spending_644226,total_spending,total_income,net_financial
q1_graph1,463777,226.36,7392.6,168.12,436.8,208.84,522.83,0.0,1690.67,1823.5,1561.97,193.02,763.66,474.25,851.71,0.0,2870.09,4864.11,316.86,427.55,1409.48,693.07,0.0,1471.99,0.0,4575.82,583.52,73.59,0.0,0.0,205.66,26018.99,7787.08,-18231.910000000003
q1_graph1,464459,453.32,51492.7,3442.81,1702.6,1601.52,1690.82,0.0,0.0,0.0,1784.67,534.04,0.0,1845.19,1167.72,763.63,6587.65,3184.21,0.0,0.0,2991.42,4296.71,0.0,3261.55,0.0,5937.72,0.0,699.42,0.0,0.0,0.0,38048.869999999995,55388.829999999994,17339.96
q1_graph1,474199,556.31,7508.97,500.51,199.86,0.0,826.39,0.0,0.0,0.0,0.0,619.57,0.0,101.17,195.8,134.02,3106.61,134.4,739.24,1383.94,900.45,314.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.05,0.0,8885.36,8565.79,-319.5699999999997
q1_graph1,475130,1288.3,10098.5,0.0,464.59,750.34,1083.35,0.0,1402.55,0.0,873.6,296.73,0.0,227.9,0.0,32.31,0.0,48.06,606.11,2085.7,760.17,923.51,0.0,691.64,598.5,0.0,0.0,136.86,0.0,233.2,0.0,11215.120000000003,11386.8,171.67999999999665
q1_graph1,490041,0.0,9945.27,0.0,944.51,0.0,546.79,0.0,1124.28,3164.62,5981.19,190.9,3898.0,2016.75,3425.74,755.36,989.2,0.0,0.0,3472.76,2351.23,0.0,0.0,541.23,902.7,309.48,3877.78,1277.89,0.0,2715.88,1088.3,39574.590000000004,9945.27,-29629.320000000003
q1_graph1,492286,0.0,69256.8,0.0,1166.8,1376.82,794.47,0.0,4242.92,0.0,5422.26,883.83,0.0,598.14,14538.3,260.88,39657.7,0.0,0.0,0.0,2904.37,5061.07,0.0,7666.8,15251.0,72.49,12542.5,1609.83,0.0,905.48,0.0,114955.65999999999,69256.8,-45698.859999999986
q1_graph1,492777,0.0,9732.82,947.58,360.75,128.47,1461.98,0.0,1619.79,0.0,0.0,124.26,0.0,0.0,1073.08,146.65,6491.57,0.0,185.63,1598.66,611.56,0.0,0.0,535.22,0.0,1518.45,2838.79,147.32,0.0,815.28,0.0,19657.46,10680.4,-8977.06
q1_graph1,493044,0.0,18919.4,0.0,224.81,658.91,1858.42,0.0,2554.09,822.4,75.77,377.6,1472.52,1094.45,1684.01,0.0,7441.46,0.0,130.79,0.0,1684.21,1412.76,0.0,0.0,774.25,1167.94,5087.5,45.08,0.0,125.63,1702.58,30395.18,18919.4,-11475.779999999999
q1_graph1,502591,525.02,54333.1,0.0,382.45,631.99,669.18,0.0,5503.51,4874.08,266.52,768.82,1101.4,1399.54,536.87,218.21,0.0,1369.2,0.0,0.0,4093.29,2099.77,0.0,2810.98,9247.45,2572.76,4144.78,488.63,0.0,0.0,814.8,43994.23,54858.119999999995,10863.889999999992
q1_graph1,505722,7190.11,900735.0,0.0,1721.87,4593.29,8086.96,4118.47,12163.6,0.0,0.0,238.75,0.0,1137.66,62750.4,0.0,0.0,0.0,3425.98,20056.8,6060.91,11587.2,0.0,14641.3,9231.82,9236.96,34840.3,0.0,0.0,11493.8,0.0,215386.06999999998,907925.11,692539.04
q1_graph1,512397,0.0,32518.9,0.0,993.54,711.5,4962.24,0.0,0.0,4200.84,3252.44,343.32,881.23,732.21,4880.51,22.79,11068.6,739.49,0.0,0.0,2840.81,6308.05,1254.79,321.43,4388.86,2487.82,6106.78,913.17,1119.13,1180.66,1984.33,61694.54,32518.9,-29175.64
q1_graph1,517273,3161.42,121149.0,0.0,1589.03,3709.53,1112.61,0.0,5355.92,0.0,1775.55,461.18,0.0,0.0,0.0,436.23,14630.5,8669.64,286.56,6858.84,18128.6,8511.84,0.0,5037.65,20241.9,1370.28,18476.7,2229.71,0.0,3021.52,0.0,121903.79,124310.42,2406.6300000000047
q1_graph1,529922,0.0,47106.5,0.0,388.16,512.78,1715.33,0.0,3689.19,1056.71,690.54,233.11,561.9,0.0,889.15,119.01,9216.46,920.72,481.91,3011.76,2032.07,2047.56,0.0,1647.79,7263.71,1790.27,6042.72,390.31,0.0,220.36,1072.89,45994.41,47106.5,1112.0899999999965
q1_graph1,530528,1273.93,22471.7,0.0,709.74,803.27,2025.14,0.0,1056.28,10454.0,566.66,626.25,42.39,0.0,3256.84,572.39,0.0,5401.11,1055.24,0.0,323.75,0.0,0.0,1263.37,3136.11,0.0,8433.51,1258.56,0.0,1860.01,2654.76,45499.380000000005,23745.63,-21753.750000000004
q1_graph1,533140,235.04,14701.4,0.0,279.66,507.01,1516.94,0.0,1741.49,0.0,0.0,96.46,0.0,497.08,534.56,85.16,0.0,530.6,0.0,0.0,1314.31,0.0,0.0,239.94,333.78,0.0,3150.22,290.73,0.0,1131.24,0.0,12249.179999999998,14936.44,2687.260000000002
q1_graph1,548513,1688.22,8328.29,1057.83,2555.54,0.0,1129.58,0.0,0.0,7279.05,0.0,706.38,3302.11,0.0,3345.4,60.39,0.0,0.0,479.26,1499.5,6392.63,4817.44,0.0,0.0,0.0,989.89,5458.02,0.0,0.0,0.0,1464.26,39479.450000000004,11074.34,-28405.110000000004
q1_graph1,550361,0.0,12586.9,0.0,235.5,0.0,333.88,0.0,1870.79,0.0,94.05,114.69,1078.75,489.54,2912.89,152.14,3691.55,0.0,382.99,2474.91,1135.49,820.04,0.0,0.0,94.43,626.0,2681.86,0.0,0.0,201.32,1378.84,20769.66,12586.9,-8182.76
q1_graph1,554431,2533.31,25798.3,1916.13,991.31,1592.45,2609.97,0.0,11532.2,0.0,2100.87,477.21,0.0,575.81,4869.66,109.57,8023.05,0.0,507.66,2292.69,1022.79,864.5,0.0,0.0,0.0,4588.96,8432.04,0.0,0.0,3608.19,0.0,54198.93,30247.74,-23951.19
q1_graph1,566342,0.0,11191.5,0.0,928.67,1503.23,350.38,0.0,0.0,0.0,695.41,239.28,0.0,729.47,0.0,409.84,4154.76,1673.49,0.0,1392.07,2976.7,0.0,0.0,2325.96,201.24,1246.31,2836.39,730.67,0.0,3830.14,0.0,26224.01,11191.5,-15032.509999999998
q1_graph1,568093,0.0,10786.0,0.0,1351.29,462.8,1626.36,0.0,1230.07,0.0,0.0,423.63,0.0,0.0,0.0,0.0,0.0,5152.55,276.35,2057.6,6929.54,3047.35,0.0,4470.49,2087.31,1770.99,0.0,55.9,0.0,0.0,0.0,30942.229999999996,10786.0,-20156.229999999996
q1_graph1,569820,1702.37,202871.0,0.0,629.72,808.95,97.31,0.0,3718.44,0.0,3093.55,87.4,0.0,647.27,2942.39,604.29,7133.86,0.0,2682.75,5383.92,3574.6,2875.99,534.52,0.0,73919.0,6704.79,8464.39,1512.55,273.24,1345.06,0.0,127033.98999999999,204573.37,77539.38
q1_graph1,570411,209.3,76722.1,0.0,1991.54,690.53,985.43,0.0,2200.13,5688.59,0.0,574.26,5580.8,0.0,17179.0,578.66,5599.51,1689.51,1317.79,0.0,2665.72,3426.73,0.0,0.0,12330.7,2276.97,15868.4,0.0,0.0,0.0,4046.65,84690.92,76931.40000000001,-7759.5199999999895
q1_graph1,575704,596.72,31934.9,0.0,2391.69,0.0,3479.68,0.0,2660.68,0.0,1911.13,749.74,0.0,1557.66,0.0,0.0,0.0,0.0,693.04,9784.56,4273.66,4613.15,196.03,0.0,2255.94,0.0,0.0,849.79,0.0,0.0,0.0,35416.75,32531.620000000003,-2885.1299999999974
q1_graph1,575859,1267.83,3304.77,0.0,766.88,0.0,440.95,0.0,183.4,0.0,976.38,132.1,0.0,2274.47,477.89,0.0,9070.65,0.0,779.37,1168.58,366.2,2474.64,0.0,0.0,1543.6,1296.75,0.0,0.0,0.0,0.0,0.0,21951.86,4572.6,-17379.260000000002
q1_graph1,576641,0.0,2326.88,0.0,385.35,607.0,349.8,0.0,1617.76,0.0,496.73,57.7,0.0,276.28,101.93,62.22,367.71,0.0,480.73,564.31,1277.17,878.76,0.0,0.0,532.92,0.0,0.0,0.0,0.0,0.0,0.0,8056.37,2326.88,-5729.49
q1_graph1,589639,1840.81,647030.0,0.0,1177.72,4315.51,657.25,0.0,11748.4,12000.0,0.0,1570.79,9368.15,0.0,35981.5,922.08,22255.4,59222.4,0.0,17326.8,6259.14,6812.65,0.0,7992.34,256705.0,20611.7,25079.4,0.0,0.0,10936.9,4393.27,515336.4,648870.81,133534.41000000003
