graph,buyer_id,seller_id,product_id,time,value,datetime
template,39,67,657187,9519349,300.0,2025-04-21 04:15:49
template,39,67,657187,11623738,100.0,2025-05-15 12:48:58
template,39,67,657187,11775168,100.0,2025-05-17 06:52:48
template,39,67,657187,13629169,300.0,2025-06-07 17:52:49
template,39,67,657187,14475818,600.0,2025-06-17 13:03:38
template,39,67,657187,15251393,300.0,2025-06-26 12:29:53
template,39,67,657187,15278449,600.0,2025-06-26 20:00:49
template,39,67,657187,17295721,800.0,2025-07-20 04:22:01
template,39,67,657187,19649264,300.0,2025-08-16 10:07:44
q1_graph1,512397,550287,657187,10250285,170.0,2025-04-29 15:18:05
q1_graph1,512397,550287,657187,12459732,314.0,2025-05-25 05:02:12
q1_graph1,512397,550287,657187,14490022,445.0,2025-06-17 17:00:22
q1_graph1,512397,550287,657187,16267662,792.0,2025-07-08 06:47:42
q1_graph1,512397,550287,657187,16758558,331.0,2025-07-13 23:09:18
q1_graph1,512397,550287,657187,17614335,430.0,2025-07-23 20:52:15
q1_graph1,512397,550287,657187,17671007,122.0,2025-07-24 12:36:47
q1_graph2,585212,644830,487668,13302589,958.0,2025-06-03 23:09:49
q1_graph2,585212,644830,487668,14314933,213.0,2025-06-15 16:22:13
q1_graph2,585212,644830,487668,15936004,276.0,2025-07-04 10:40:04
q1_graph2,585212,644830,487668,16227037,245.0,2025-07-07 19:30:37
q1_graph2,585212,644830,487668,17764060,213.0,2025-07-25 14:27:40
q1_graph2,585212,644830,487668,18425192,581.0,2025-08-02 06:06:32
q1_graph2,585212,644830,487668,20170502,209.0,2025-08-22 10:55:02
q1_graph3,572391,542649,476813,10573552,398.0,2025-05-03 09:05:52
q1_graph3,572391,542649,476813,11457714,123.0,2025-05-13 14:41:54
q1_graph3,572391,542649,476813,12032171,171.0,2025-05-20 06:16:11
q1_graph3,572391,542649,476813,12110938,364.0,2025-05-21 04:08:58
q1_graph3,572391,542649,476813,13053223,110.0,2025-06-01 01:53:43
q1_graph3,572391,542649,476813,15115449,150.0,2025-06-24 22:44:09
