graph,person_id,travel_country_0,travel_country_1,travel_country_2,travel_country_3,travel_country_4,travel_country_5
q1_graph1,464459,1.0,0.0,2.0,1.0,0.0,0.0
q1_graph1,534034,0.0,3.0,5.0,4.0,0.0,0.0
q1_graph1,538892,0.0,0.0,0.0,0.0,1.0,0.0
q1_graph1,542965,0.0,0.0,0.0,0.0,5.0,0.0
q1_graph1,568093,2.0,0.0,2.0,2.0,0.0,0.0
q1_graph1,570284,2.0,0.0,0.0,0.0,1.0,5.0
q1_graph1,572391,0.0,0.0,0.0,0.0,2.0,0.0
q1_graph1,585212,0.0,5.0,5.0,5.0,3.0,0.0
q1_graph1,599441,0.0,5.0,2.0,4.0,4.0,0.0
q1_graph1,629627,0.0,2.0,2.0,4.0,0.0,0.0
q1_graph1,635665,1.0,0.0,1.0,1.0,0.0,0.0
q1_graph1,643925,4.0,0.0,0.0,2.0,5.0,3.0
q1_graph1,649553,2.0,0.0,0.0,3.0,4.0,5.0
q1_graph2,464459,0.0,0.0,5.0,4.0,0.0,0.0
q1_graph2,534034,0.0,1.0,1.0,5.0,1.0,0.0
q1_graph2,538892,0.0,0.0,0.0,0.0,3.0,0.0
q1_graph2,542965,0.0,0.0,0.0,0.0,2.0,0.0
q1_graph2,568093,0.0,0.0,5.0,2.0,0.0,0.0
q1_graph2,572391,0.0,0.0,0.0,0.0,4.0,0.0
q1_graph2,585212,0.0,0.0,1.0,5.0,6.0,0.0
q1_graph2,599441,0.0,3.0,1.0,2.0,5.0,0.0
q1_graph2,629627,0.0,3.0,1.0,7.0,2.0,0.0
q1_graph2,635665,0.0,0.0,3.0,4.0,0.0,0.0
q1_graph3,464459,0.0,0.0,4.0,2.0,0.0,0.0
q1_graph3,534034,0.0,2.0,2.0,5.0,5.0,0.0
q1_graph3,538892,0.0,0.0,0.0,0.0,6.0,0.0
q1_graph3,542965,0.0,0.0,0.0,0.0,1.0,0.0
q1_graph3,568093,1.0,0.0,1.0,1.0,0.0,0.0
q1_graph3,570284,6.0,0.0,0.0,4.0,1.0,2.0
q1_graph3,585212,0.0,2.0,1.0,0.0,5.0,0.0
q1_graph3,598006,3.0,1.0,0.0,0.0,0.0,0.0
q1_graph3,599441,0.0,0.0,3.0,1.0,6.0,0.0
q1_graph3,612711,1.0,0.0,0.0,0.0,0.0,0.0
q1_graph3,629627,0.0,5.0,0.0,3.0,3.0,0.0
q1_graph3,635665,6.0,0.0,4.0,5.0,0.0,0.0
q1_graph3,643411,1.0,0.0,0.0,0.0,0.0,0.0
q1_graph3,643925,5.0,0.0,0.0,3.0,4.0,0.0
q1_graph3,649553,0.0,0.0,0.0,1.0,2.0,6.0
q1_graph4,464579,-5.0,0.0,0.0,25.0,0.0,0.0
q1_graph4,482012,15.0,0.0,0.0,-5.0,15.0,10.0
q1_graph4,492850,0.0,0.0,0.0,-15.0,0.0,50.0
q1_graph4,569329,-15.0,5.0,25.0,20.0,20.0,5.0
q1_graph4,580798,0.0,20.0,-5.0,25.0,5.0,0.0
q1_graph5,477657,5.0,0.0,25.0,15.0,0.0,5.0
q1_graph5,483784,-20.0,0.0,0.0,0.0,0.0,0.0
q1_graph5,573137,0.0,0.0,0.0,0.0,-5.0,0.0
q1_graph5,594308,20.0,0.0,0.0,0.0,10.0,5.0
q1_graph5,619322,0.0,55.0,0.0,-5.0,30.0,10.0
template,39,1.0,0.0,0.0,3.0,2.0,3.0
template,40,6.0,0.0,0.0,3.0,1.0,3.0
template,41,4.0,0.0,0.0,3.0,3.0,6.0
template,73,2.0,0.0,4.0,3.0,0.0,0.0
template,74,2.0,0.0,1.0,1.0,0.0,0.0
template,75,1.0,0.0,4.0,5.0,0.0,0.0
template,77,0.0,2.0,1.0,1.0,4.0,0.0
template,78,0.0,2.0,4.0,4.0,1.0,0.0
template,79,0.0,1.0,2.0,3.0,3.0,0.0
template,80,0.0,3.0,3.0,1.0,5.0,0.0
template,82,0.0,0.0,0.0,0.0,5.0,0.0
template,83,0.0,0.0,0.0,0.0,1.0,0.0
template,84,0.0,0.0,0.0,0.0,1.0,0.0
template,85,4.0,1.0,0.0,1.0,0.0,3.0
template,86,5.0,3.0,0.0,2.0,0.0,3.0
template,87,2.0,2.0,0.0,1.0,0.0,1.0
