graph,person_id,n_trips,n_countries,total_travel_days,avg_trip_duration,first_trip,last_trip
q1_graph1,464459,3,3,4.0,1.3333333333333333,2025-08-31 19:39:07,2025-10-16 19:39:07
q1_graph1,534034,3,3,12.0,4.0,2025-06-29 19:39:07,2025-08-02 19:39:07
q1_graph1,538892,1,1,1.0,1.0,2025-08-21 19:39:07,2025-08-21 19:39:07
q1_graph1,542965,1,1,5.0,5.0,2025-08-26 19:39:07,2025-08-26 19:39:07
q1_graph1,568093,3,3,6.0,2.0,2025-09-02 19:39:07,2025-10-12 19:39:07
q1_graph1,570284,3,3,8.0,2.6666666666666665,2025-11-05 19:39:07,2025-12-16 19:39:07
q1_graph1,572391,1,1,2.0,2.0,2025-09-02 19:39:07,2025-09-02 19:39:07
q1_graph1,585212,4,4,18.0,4.5,2025-07-10 19:39:07,2025-08-05 19:39:07
q1_graph1,599441,4,4,15.0,3.75,2025-06-26 19:39:07,2025-08-06 19:39:07
q1_graph1,629627,3,3,8.0,2.6666666666666665,2025-06-21 19:39:07,2025-08-04 19:39:07
q1_graph1,635665,3,3,3.0,1.0,2025-09-05 19:39:07,2025-10-12 19:39:07
q1_graph1,643925,4,4,14.0,3.5,2025-11-15 19:39:07,2025-12-15 19:39:07
q1_graph1,649553,4,4,14.0,3.5,2025-11-04 19:39:07,2025-12-16 19:39:07
q1_graph2,464459,2,2,9.0,4.5,2025-11-24 16:27:54,2025-12-11 16:27:54
q1_graph2,534034,4,4,8.0,2.0,2025-09-18 16:27:54,2025-10-25 16:27:54
q1_graph2,538892,1,1,3.0,3.0,2025-11-23 16:27:54,2025-11-23 16:27:54
q1_graph2,542965,1,1,2.0,2.0,2025-11-06 16:27:54,2025-11-06 16:27:54
q1_graph2,568093,2,2,7.0,3.5,2025-11-28 16:27:54,2025-12-03 16:27:54
q1_graph2,572391,1,1,4.0,4.0,2025-11-04 16:27:54,2025-11-04 16:27:54
q1_graph2,585212,3,3,12.0,4.0,2025-10-01 16:27:54,2025-10-24 16:27:54
q1_graph2,599441,4,4,11.0,2.75,2025-09-28 16:27:54,2025-10-31 16:27:54
q1_graph2,629627,4,4,13.0,3.25,2025-09-15 16:27:54,2025-10-30 16:27:54
q1_graph2,635665,2,2,7.0,3.5,2025-11-18 16:27:54,2025-12-05 16:27:54
q1_graph3,464459,2,2,6.0,3.0,2025-09-03 18:09:16,2025-09-10 18:09:16
q1_graph3,534034,4,4,14.0,3.5,2025-06-25 18:09:16,2025-07-26 18:09:16
q1_graph3,538892,1,1,6.0,6.0,2025-08-20 18:09:16,2025-08-20 18:09:16
q1_graph3,542965,1,1,1.0,1.0,2025-08-09 18:09:16,2025-08-09 18:09:16
q1_graph3,568093,3,3,3.0,1.0,2025-08-21 18:09:16,2025-10-01 18:09:16
q1_graph3,570284,4,4,13.0,3.25,2025-10-16 18:09:16,2025-11-28 18:09:16
q1_graph3,585212,3,3,8.0,2.6666666666666665,2025-06-15 18:09:16,2025-07-25 18:09:16
q1_graph3,598006,2,2,4.0,2.0,2025-12-12 18:09:16,2025-12-19 18:09:16
q1_graph3,599441,3,3,10.0,3.3333333333333335,2025-07-01 18:09:16,2025-07-22 18:09:16
q1_graph3,612711,1,1,1.0,1.0,2025-12-15 18:09:16,2025-12-15 18:09:16
q1_graph3,629627,3,3,11.0,3.6666666666666665,2025-06-08 18:09:16,2025-07-24 18:09:16
q1_graph3,635665,3,3,15.0,5.0,2025-08-12 18:09:16,2025-10-02 18:09:16
q1_graph3,643411,1,1,1.0,1.0,2025-12-31 18:09:16,2025-12-31 18:09:16
q1_graph3,643925,3,3,12.0,4.0,2025-10-22 18:09:16,2025-11-29 18:09:16
q1_graph3,649553,3,3,9.0,3.0,2025-10-23 18:09:16,2025-11-27 18:09:16
q1_graph4,464579,10,2,20.0,2.0,2025-06-26 00:00:00,2025-12-13 00:00:00
q1_graph4,482012,20,4,35.0,1.75,2025-04-15 00:00:00,2025-07-31 00:00:00
q1_graph4,492850,25,2,35.0,1.4,2025-01-20 00:00:00,2025-12-02 00:00:00
q1_graph4,569329,40,6,60.0,1.5,2025-03-22 00:00:00,2025-11-30 00:00:00
q1_graph4,580798,20,4,45.0,2.25,2025-01-16 00:00:00,2025-11-25 00:00:00
q1_graph5,477657,30,4,50.0,1.6666666666666667,2025-02-27 00:00:00,2025-10-29 00:00:00
q1_graph5,483784,20,1,-20.0,-1.0,2025-04-03 00:00:00,2025-10-07 00:00:00
