person_id,eType,country_node_id,Time,duration_days,SourceLocation,TargetLocation,SourceLatitude,SourceLongitude,TargetLatitude,TargetLongitude,graph,datetime,date,day_of_year,week,month,hour,edge_type,source_node_type,source_node_type_name,target_node_type,target_node_type_name
78,6,81,11773606,2.0,3.0,1.0,,,,,template,2025-05-17 06:26:46,2025-05-17,137,20,5,6,travels_to,1,person,5,country
80,6,70,12292006,1.0,4.0,3.0,,,,,template,2025-05-23 06:26:46,2025-05-23,143,21,5,6,travels_to,1,person,5,country
80,6,81,12292006,3.0,3.0,1.0,,,,,template,2025-05-23 06:26:46,2025-05-23,143,21,5,6,travels_to,1,person,5,country
77,6,70,12464806,1.0,4.0,3.0,,,,,template,2025-05-25 06:26:46,2025-05-25,145,21,5,6,travels_to,1,person,5,country
79,6,81,12637606,1.0,3.0,1.0,,,,,template,2025-05-27 06:26:46,2025-05-27,147,22,5,6,travels_to,1,person,5,country
79,6,70,13242406,3.0,4.0,3.0,,,,,template,2025-06-03 06:26:46,2025-06-03,154,23,6,6,travels_to,1,person,5,country
77,6,81,13415206,2.0,3.0,1.0,,,,,template,2025-06-05 06:26:46,2025-06-05,156,23,6,6,travels_to,1,person,5,country
78,6,70,14020006,4.0,4.0,3.0,,,,,template,2025-06-12 06:26:46,2025-06-12,163,24,6,6,travels_to,1,person,5,country
78,6,69,14884006,1.0,2.0,4.0,,,,,template,2025-06-22 06:26:46,2025-06-22,173,25,6,6,travels_to,1,person,5,country
79,6,69,15056806,3.0,2.0,4.0,,,,,template,2025-06-24 06:26:46,2025-06-24,175,26,6,6,travels_to,1,person,5,country
80,6,76,15575206,3.0,1.0,2.0,,,,,template,2025-06-30 06:26:46,2025-06-30,181,27,6,6,travels_to,1,person,5,country
77,6,76,15661606,1.0,1.0,2.0,,,,,template,2025-07-01 06:26:46,2025-07-01,182,27,7,6,travels_to,1,person,5,country
78,6,76,15661606,4.0,1.0,2.0,,,,,template,2025-07-01 06:26:46,2025-07-01,182,27,7,6,travels_to,1,person,5,country
77,6,69,15661606,4.0,2.0,4.0,,,,,template,2025-07-01 06:26:46,2025-07-01,182,27,7,6,travels_to,1,person,5,country
79,6,76,15834406,2.0,1.0,2.0,,,,,template,2025-07-03 06:26:46,2025-07-03,184,27,7,6,travels_to,1,person,5,country
80,6,69,15834406,5.0,2.0,4.0,,,,,template,2025-07-03 06:26:46,2025-07-03,184,27,7,6,travels_to,1,person,5,country
82,6,69,16871206,5.0,2.0,4.0,,,,,template,2025-07-15 06:26:46,2025-07-15,196,29,7,6,travels_to,1,person,5,country
83,6,69,17562406,1.0,2.0,4.0,,,,,template,2025-07-23 06:26:46,2025-07-23,204,30,7,6,travels_to,1,person,5,country
84,6,69,17648806,1.0,2.0,4.0,,,,,template,2025-07-24 06:26:46,2025-07-24,205,30,7,6,travels_to,1,person,5,country
73,6,70,17994406,3.0,0.0,3.0,,,,,template,2025-07-28 06:26:46,2025-07-28,209,31,7,6,travels_to,1,person,5,country
75,6,70,18685606,5.0,0.0,3.0,,,,,template,2025-08-05 06:26:46,2025-08-05,217,32,8,6,travels_to,1,person,5,country
75,6,76,18858406,4.0,3.0,2.0,,,,,template,2025-08-07 06:26:46,2025-08-07,219,32,8,6,travels_to,1,person,5,country
73,6,76,19204006,4.0,3.0,2.0,,,,,template,2025-08-11 06:26:46,2025-08-11,223,33,8,6,travels_to,1,person,5,country
74,6,70,19636006,1.0,0.0,3.0,,,,,template,2025-08-16 06:26:46,2025-08-16,228,33,8,6,travels_to,1,person,5,country
74,6,76,19722406,1.0,3.0,2.0,,,,,template,2025-08-17 06:26:46,2025-08-17,229,33,8,6,travels_to,1,person,5,country
74,6,71,21796006,2.0,2.0,0.0,,,,,template,2025-09-10 06:26:46,2025-09-10,253,37,9,6,travels_to,1,person,5,country
75,6,71,21882406,1.0,2.0,0.0,,,,,template,2025-09-11 06:26:46,2025-09-11,254,37,9,6,travels_to,1,person,5,country
73,6,71,21968806,2.0,2.0,0.0,,,,,template,2025-09-12 06:26:46,2025-09-12,255,37,9,6,travels_to,1,person,5,country
39,6,70,24128806,3.0,4.0,3.0,,,,,template,2025-10-07 06:26:46,2025-10-07,280,41,10,6,travels_to,1,person,5,country
40,6,70,24560806,3.0,4.0,3.0,,,,,template,2025-10-12 06:26:46,2025-10-12,285,41,10,6,travels_to,1,person,5,country
40,6,69,24733606,1.0,5.0,4.0,,,,,template,2025-10-14 06:26:46,2025-10-14,287,42,10,6,travels_to,1,person,5,country
41,6,70,24733606,3.0,4.0,3.0,,,,,template,2025-10-14 06:26:46,2025-10-14,287,42,10,6,travels_to,1,person,5,country
39,6,69,25165606,2.0,5.0,4.0,,,,,template,2025-10-19 06:26:46,2025-10-19,292,42,10,6,travels_to,1,person,5,country
41,6,69,25252006,3.0,5.0,4.0,,,,,template,2025-10-20 06:26:46,2025-10-20,293,43,10,6,travels_to,1,person,5,country
40,6,71,26634406,6.0,3.0,0.0,,,,,template,2025-11-05 06:26:46,2025-11-05,309,45,11,6,travels_to,1,person,5,country
40,6,72,26634406,3.0,0.0,5.0,,,,,template,2025-11-05 06:26:46,2025-11-05,309,45,11,6,travels_to,1,person,5,country
41,6,71,26720806,4.0,3.0,0.0,,,,,template,2025-11-06 06:26:46,2025-11-06,310,45,11,6,travels_to,1,person,5,country
39,6,71,26980006,1.0,3.0,0.0,,,,,template,2025-11-09 06:26:46,2025-11-09,313,45,11,6,travels_to,1,person,5,country
41,6,72,27066406,6.0,0.0,5.0,,,,,template,2025-11-10 06:26:46,2025-11-10,314,46,11,6,travels_to,1,person,5,country
39,6,72,27152806,3.0,0.0,5.0,,,,,template,2025-11-11 06:26:46,2025-11-11,315,46,11,6,travels_to,1,person,5,country
87,6,71,27844006,2.0,1.0,0.0,,,,,template,2025-11-19 06:26:46,2025-11-19,323,47,11,6,travels_to,1,person,5,country
85,6,81,28103206,1.0,5.0,1.0,,,,,template,2025-11-22 06:26:46,2025-11-22,326,47,11,6,travels_to,1,person,5,country
85,6,71,28794406,4.0,1.0,0.0,,,,,template,2025-11-30 06:26:46,2025-11-30,334,48,11,6,travels_to,1,person,5,country
86,6,71,29399206,5.0,1.0,0.0,,,,,template,2025-12-07 06:26:46,2025-12-07,341,49,12,6,travels_to,1,person,5,country
86,6,81,30004006,3.0,5.0,1.0,,,,,template,2025-12-14 06:26:46,2025-12-14,348,50,12,6,travels_to,1,person,5,country
87,6,81,30004006,2.0,5.0,1.0,,,,,template,2025-12-14 06:26:46,2025-12-14,348,50,12,6,travels_to,1,person,5,country
87,6,72,30054406,1.0,3.0,5.0,,,,,template,2025-12-14 20:26:46,2025-12-14,348,50,12,20,travels_to,1,person,5,country
86,6,70,30400006,2.0,0.0,3.0,,,,,template,2025-12-18 20:26:46,2025-12-18,352,51,12,20,travels_to,1,person,5,country
87,6,70,30572806,1.0,0.0,3.0,,,,,template,2025-12-20 20:26:46,2025-12-20,354,51,12,20,travels_to,1,person,5,country
85,6,70,30659206,1.0,0.0,3.0,,,,,template,2025-12-21 20:26:46,2025-12-21,355,51,12,20,travels_to,1,person,5,country
85,6,72,30832006,3.0,3.0,5.0,,,,,template,2025-12-23 20:26:46,2025-12-23,357,52,12,20,travels_to,1,person,5,country
86,6,72,31004806,3.0,3.0,5.0,,,,,template,2025-12-25 20:26:46,2025-12-25,359,52,12,20,travels_to,1,person,5,country
629627,6,625756,14845147,4.0,4.0,3.0,1.0,-165.0,-25.0,-111.0,q1_graph1,2025-06-21 19:39:07,2025-06-21,172,25,6,19,travels_to,1,person,5,country
