Source,eType,Target,Time,Weight,SourceLocation,TargetLocation,SourceLatitude,SourceLongitude,TargetLatitude,TargetLongitude,graph,datetime,date,day_of_year,week,month,hour,edge_type,source_node_type,source_node_type_name,target_node_type,target_node_type_name
0,4,-99,-99,-99.0,,,,,,,template,2024-12-31 23:58:21,2024-12-31,366,1,12,23,author_of,1,person,3,document
41,0,34,86400,1.0,,,,,,,template,2025-01-02 00:00:00,2025-01-02,2,1,1,0,email,1,person,1,person
37,0,27,94461,1.0,,,,,,,template,2025-01-02 02:14:21,2025-01-02,2,1,1,2,email,1,person,1,person
34,1,27,107548,1.0,5.0,5.0,,,,,template,2025-01-02 05:52:28,2025-01-02,2,1,1,5,phone,1,person,1,person
41,0,37,127838,1.0,,,,,,,template,2025-01-02 11:30:38,2025-01-02,2,1,1,11,email,1,person,1,person
34,1,37,137358,1.0,5.0,5.0,,,,,template,2025-01-02 14:09:18,2025-01-02,2,1,1,14,phone,1,person,1,person
27,0,41,137514,1.0,,,,,,,template,2025-01-02 14:11:54,2025-01-02,2,1,1,14,email,1,person,1,person
27,0,41,146000,1.0,,,,,,,template,2025-01-02 16:33:20,2025-01-02,2,1,1,16,email,1,person,1,person
41,1,37,149161,1.0,5.0,5.0,,,,,template,2025-01-02 17:26:01,2025-01-02,2,1,1,17,phone,1,person,1,person
37,0,34,158428,1.0,,,,,,,template,2025-01-02 20:00:28,2025-01-02,2,1,1,20,email,1,person,1,person
41,0,34,169247,1.0,,,,,,,template,2025-01-02 23:00:47,2025-01-02,2,1,1,23,email,1,person,1,person
27,1,37,177201,1.0,5.0,5.0,,,,,template,2025-01-03 01:13:21,2025-01-03,3,1,1,1,phone,1,person,1,person
37,1,41,183172,1.0,5.0,5.0,,,,,template,2025-01-03 02:52:52,2025-01-03,3,1,1,2,phone,1,person,1,person
41,0,27,216582,1.0,,,,,,,template,2025-01-03 12:09:42,2025-01-03,3,1,1,12,email,1,person,1,person
34,1,41,218423,1.0,5.0,5.0,,,,,template,2025-01-03 12:40:23,2025-01-03,3,1,1,12,phone,1,person,1,person
41,1,27,230069,1.0,5.0,5.0,,,,,template,2025-01-03 15:54:29,2025-01-03,3,1,1,15,phone,1,person,1,person
41,1,37,233022,1.0,5.0,5.0,,,,,template,2025-01-03 16:43:42,2025-01-03,3,1,1,16,phone,1,person,1,person
34,1,41,236079,1.0,5.0,5.0,,,,,template,2025-01-03 17:34:39,2025-01-03,3,1,1,17,phone,1,person,1,person
41,1,37,239793,1.0,5.0,5.0,,,,,template,2025-01-03 18:36:33,2025-01-03,3,1,1,18,phone,1,person,1,person
37,1,27,265109,1.0,5.0,5.0,,,,,template,2025-01-04 01:38:29,2025-01-04,4,1,1,1,phone,1,person,1,person
37,0,41,268112,1.0,,,,,,,template,2025-01-04 02:28:32,2025-01-04,4,1,1,2,email,1,person,1,person
37,0,34,272059,1.0,,,,,,,template,2025-01-04 03:34:19,2025-01-04,4,1,1,3,email,1,person,1,person
34,1,27,276813,1.0,5.0,5.0,,,,,template,2025-01-04 04:53:33,2025-01-04,4,1,1,4,phone,1,person,1,person
34,1,27,288578,1.0,5.0,5.0,,,,,template,2025-01-04 08:09:38,2025-01-04,4,1,1,8,phone,1,person,1,person
41,1,37,293985,1.0,5.0,5.0,,,,,template,2025-01-04 09:39:45,2025-01-04,4,1,1,9,phone,1,person,1,person
34,1,37,318223,1.0,5.0,5.0,,,,,template,2025-01-04 16:23:43,2025-01-04,4,1,1,16,phone,1,person,1,person
34,1,41,345461,1.0,5.0,5.0,,,,,template,2025-01-04 23:57:41,2025-01-04,4,1,1,23,phone,1,person,1,person
37,1,34,346631,1.0,5.0,5.0,,,,,template,2025-01-05 00:17:11,2025-01-05,5,1,1,0,phone,1,person,1,person
34,1,37,350177,1.0,5.0,5.0,,,,,template,2025-01-05 01:16:17,2025-01-05,5,1,1,1,phone,1,person,1,person
41,1,27,362034,1.0,5.0,5.0,,,,,template,2025-01-05 04:33:54,2025-01-05,5,1,1,4,phone,1,person,1,person
40,0,0,368628,1.0,,,,,,,template,2025-01-05 06:23:48,2025-01-05,5,1,1,6,email,1,person,1,person
41,1,34,374986,1.0,5.0,5.0,,,,,template,2025-01-05 08:09:46,2025-01-05,5,1,1,8,phone,1,person,1,person
37,0,34,395798,1.0,,,,,,,template,2025-01-05 13:56:38,2025-01-05,5,1,1,13,email,1,person,1,person
37,0,34,399788,1.0,,,,,,,template,2025-01-05 15:03:08,2025-01-05,5,1,1,15,email,1,person,1,person
37,0,41,401565,1.0,,,,,,,template,2025-01-05 15:32:45,2025-01-05,5,1,1,15,email,1,person,1,person
37,0,27,411242,1.0,,,,,,,template,2025-01-05 18:14:02,2025-01-05,5,1,1,18,email,1,person,1,person
34,0,37,412501,1.0,,,,,,,template,2025-01-05 18:35:01,2025-01-05,5,1,1,18,email,1,person,1,person
37,1,27,417194,1.0,5.0,5.0,,,,,template,2025-01-05 19:53:14,2025-01-05,5,1,1,19,phone,1,person,1,person
34,1,37,431903,1.0,5.0,5.0,,,,,template,2025-01-05 23:58:23,2025-01-05,5,1,1,23,phone,1,person,1,person
34,1,37,459754,1.0,5.0,5.0,,,,,template,2025-01-06 07:42:34,2025-01-06,6,2,1,7,phone,1,person,1,person
37,0,41,476347,1.0,,,,,,,template,2025-01-06 12:19:07,2025-01-06,6,2,1,12,email,1,person,1,person
41,0,39,494408,1.0,,,,,,,template,2025-01-06 17:20:08,2025-01-06,6,2,1,17,email,1,person,1,person
34,0,27,509489,1.0,,,,,,,template,2025-01-06 21:31:29,2025-01-06,6,2,1,21,email,1,person,1,person
34,1,27,533633,1.0,5.0,5.0,,,,,template,2025-01-07 04:13:53,2025-01-07,7,2,1,4,phone,1,person,1,person
41,0,37,540456,1.0,,,,,,,template,2025-01-07 06:07:36,2025-01-07,7,2,1,6,email,1,person,1,person
37,0,41,552924,1.0,,,,,,,template,2025-01-07 09:35:24,2025-01-07,7,2,1,9,email,1,person,1,person
34,1,27,558469,1.0,5.0,5.0,,,,,template,2025-01-07 11:07:49,2025-01-07,7,2,1,11,phone,1,person,1,person
37,0,34,573446,1.0,,,,,,,template,2025-01-07 15:17:26,2025-01-07,7,2,1,15,email,1,person,1,person
65,1,39,575922,1.0,5.0,5.0,,,,,template,2025-01-07 15:58:42,2025-01-07,7,2,1,15,phone,1,person,1,person
27,1,41,576871,1.0,5.0,5.0,,,,,template,2025-01-07 16:14:31,2025-01-07,7,2,1,16,phone,1,person,1,person
41,1,34,585647,1.0,5.0,5.0,,,,,template,2025-01-07 18:40:47,2025-01-07,7,2,1,18,phone,1,person,1,person
41,0,34,588261,1.0,,,,,,,template,2025-01-07 19:24:21,2025-01-07,7,2,1,19,email,1,person,1,person
27,1,34,589534,1.0,5.0,5.0,,,,,template,2025-01-07 19:45:34,2025-01-07,7,2,1,19,phone,1,person,1,person
41,1,34,600413,1.0,5.0,5.0,,,,,template,2025-01-07 22:46:53,2025-01-07,7,2,1,22,phone,1,person,1,person
41,1,34,609669,1.0,5.0,5.0,,,,,template,2025-01-08 01:21:09,2025-01-08,8,2,1,1,phone,1,person,1,person
41,0,34,611246,1.0,,,,,,,template,2025-01-08 01:47:26,2025-01-08,8,2,1,1,email,1,person,1,person
37,0,27,614378,1.0,,,,,,,template,2025-01-08 02:39:38,2025-01-08,8,2,1,2,email,1,person,1,person
41,0,34,631688,1.0,,,,,,,template,2025-01-08 07:28:08,2025-01-08,8,2,1,7,email,1,person,1,person
34,1,27,637600,1.0,5.0,5.0,,,,,template,2025-01-08 09:06:40,2025-01-08,8,2,1,9,phone,1,person,1,person
41,1,37,642322,1.0,5.0,5.0,,,,,template,2025-01-08 10:25:22,2025-01-08,8,2,1,10,phone,1,person,1,person
37,0,34,647884,1.0,,,,,,,template,2025-01-08 11:58:04,2025-01-08,8,2,1,11,email,1,person,1,person
27,1,37,665052,1.0,5.0,5.0,,,,,template,2025-01-08 16:44:12,2025-01-08,8,2,1,16,phone,1,person,1,person
41,1,0,700042,1.0,5.0,5.0,,,,,template,2025-01-09 02:27:22,2025-01-09,9,2,1,2,phone,1,person,1,person
65,1,41,1539767,1.0,5.0,5.0,,,,,template,2025-01-18 19:42:47,2025-01-18,18,3,1,19,phone,1,person,1,person
65,0,41,1815123,1.0,,,,,,,template,2025-01-22 00:12:03,2025-01-22,22,4,1,0,email,1,person,1,person
65,0,39,2025218,1.0,,,,,,,template,2025-01-24 10:33:38,2025-01-24,24,4,1,10,email,1,person,1,person
65,0,41,2219841,1.0,,,,,,,template,2025-01-26 16:37:21,2025-01-26,26,4,1,16,email,1,person,1,person
40,0,39,2274508,1.0,,,,,,,template,2025-01-27 07:48:28,2025-01-27,27,5,1,7,email,1,person,1,person
40,1,39,2299346,1.0,5.0,5.0,,,,,template,2025-01-27 14:42:26,2025-01-27,27,5,1,14,phone,1,person,1,person
65,0,41,2531012,1.0,,,,,,,template,2025-01-30 07:03:32,2025-01-30,30,5,1,7,email,1,person,1,person
40,0,41,2606356,1.0,,,,,,,template,2025-01-31 03:59:16,2025-01-31,31,5,1,3,email,1,person,1,person
40,0,0,2728873,1.0,,,,,,,template,2025-02-01 14:01:13,2025-02-01,32,5,2,14,email,1,person,1,person
41,0,39,2811368,1.0,,,,,,,template,2025-02-02 12:56:08,2025-02-02,33,5,2,12,email,1,person,1,person
41,0,39,2916910,1.0,,,,,,,template,2025-02-03 18:15:10,2025-02-03,34,6,2,18,email,1,person,1,person
67,0,39,2918105,1.0,,,,,,,template,2025-02-03 18:35:05,2025-02-03,34,6,2,18,email,1,person,1,person
47,0,39,2950842,1.0,,,,,,,template,2025-02-04 03:40:42,2025-02-04,35,6,2,3,email,1,person,1,person
39,0,66,2988949,1.0,,,,,,,template,2025-02-04 14:15:49,2025-02-04,35,6,2,14,email,1,person,1,person
67,0,47,3046943,1.0,,,,,,,template,2025-02-05 06:22:23,2025-02-05,36,6,2,6,email,1,person,1,person
41,1,0,3056926,1.0,5.0,5.0,,,,,template,2025-02-05 09:08:46,2025-02-05,36,6,2,9,phone,1,person,1,person
41,0,65,3194279,1.0,,,,,,,template,2025-02-06 23:17:59,2025-02-06,37,6,2,23,email,1,person,1,person
67,0,39,3239797,1.0,,,,,,,template,2025-02-07 11:56:37,2025-02-07,38,6,2,11,email,1,person,1,person
40,0,39,3253335,1.0,,,,,,,template,2025-02-07 15:42:15,2025-02-07,38,6,2,15,email,1,person,1,person
67,0,47,3274683,1.0,,,,,,,template,2025-02-07 21:38:03,2025-02-07,38,6,2,21,email,1,person,1,person
65,1,0,3305014,1.0,5.0,5.0,,,,,template,2025-02-08 06:03:34,2025-02-08,39,6,2,6,phone,1,person,1,person
41,1,40,3329197,1.0,5.0,5.0,,,,,template,2025-02-08 12:46:37,2025-02-08,39,6,2,12,phone,1,person,1,person
40,1,65,3411168,1.0,5.0,5.0,,,,,template,2025-02-09 11:32:48,2025-02-09,40,6,2,11,phone,1,person,1,person
